Id,LotFrontage,LotArea,Neighborhood,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice
1,65.0,8450,CollgCr,7,2003,2003,196.0,4,PConc,4.0,706,150,856,5,Y,SBrkr,856,854,1710,2,1,3,1,4,0,Attchd,2003.0,RFn,2,548,0,61,208500
2,80.0,9600,Veenker,6,1976,1976,0.0,3,CBlock,4.0,978,284,1262,5,Y,SBrkr,1262,0,1262,2,0,3,1,3,1,Attchd,1976.0,RFn,2,460,298,0,181500
3,68.0,11250,CollgCr,7,2001,2002,162.0,4,PConc,4.0,486,434,920,5,Y,SBrkr,920,866,1786,2,1,3,1,4,1,Attchd,2001.0,RFn,2,608,0,42,223500
4,60.0,9550,Crawfor,7,1915,1970,0.0,3,BrkTil,3.0,216,540,756,4,Y,SBrkr,961,756,1717,1,0,3,1,4,1,Detchd,1998.0,Unf,3,642,0,35,140000
5,84.0,14260,NoRidge,8,2000,2000,350.0,4,PConc,4.0,655,490,1145,5,Y,SBrkr,1145,1053,2198,2,1,4,1,4,1,Attchd,2000.0,RFn,3,836,192,84,250000
6,85.0,14115,Mitchel,5,1993,1995,0.0,3,Wood,4.0,732,64,796,5,Y,SBrkr,796,566,1362,1,1,1,1,3,0,Attchd,1993.0,Unf,2,480,40,30,143000
7,75.0,10084,Somerst,8,2004,2005,186.0,4,PConc,5.0,1369,317,1686,5,Y,SBrkr,1694,0,1694,2,0,3,1,4,1,Attchd,2004.0,RFn,2,636,255,57,307000
8,69.0,10382,NWAmes,7,1973,1973,240.0,3,CBlock,4.0,859,216,1107,5,Y,SBrkr,1107,983,2090,2,1,3,1,3,2,Attchd,1973.0,RFn,2,484,235,204,200000
9,51.0,6120,OldTown,7,1931,1950,0.0,3,BrkTil,3.0,0,952,952,4,Y,FuseF,1022,752,1774,2,0,2,2,3,2,Detchd,1931.0,Unf,2,468,90,0,129900
10,50.0,7420,BrkSide,5,1939,1950,0.0,3,BrkTil,3.0,851,140,991,5,Y,SBrkr,1077,0,1077,1,0,2,2,3,2,Attchd,1939.0,RFn,1,205,0,4,118000
11,70.0,11200,Sawyer,5,1965,1965,0.0,3,CBlock,3.0,906,134,1040,5,Y,SBrkr,1040,0,1040,1,0,3,1,3,0,Detchd,1965.0,Unf,1,384,0,0,129500
12,85.0,11924,NridgHt,9,2005,2006,286.0,5,PConc,5.0,998,177,1175,5,Y,SBrkr,1182,1142,2324,3,0,4,1,5,2,BuiltIn,2005.0,Fin,3,736,147,21,345000
13,69.0,12968,Sawyer,5,1962,1962,0.0,3,CBlock,3.0,737,175,912,3,Y,SBrkr,912,0,912,1,0,2,1,3,0,Detchd,1962.0,Unf,1,352,140,0,144000
14,91.0,10652,CollgCr,7,2006,2007,306.0,4,PConc,4.0,0,1494,1494,5,Y,SBrkr,1494,0,1494,2,0,3,1,4,1,Attchd,2006.0,RFn,3,840,160,33,279500
15,69.0,10920,NAmes,6,1960,1960,212.0,3,CBlock,3.0,733,520,1253,3,Y,SBrkr,1253,0,1253,1,1,2,1,3,1,Attchd,1960.0,RFn,1,352,0,213,157000
16,51.0,6120,BrkSide,7,1929,2001,0.0,3,BrkTil,3.0,0,832,832,5,Y,FuseA,854,0,854,1,0,2,1,3,0,Detchd,1991.0,Unf,2,576,48,112,132000
17,69.0,11241,NAmes,6,1970,1970,180.0,3,CBlock,3.0,578,426,1004,5,Y,SBrkr,1004,0,1004,1,0,2,1,3,1,Attchd,1970.0,Fin,2,480,0,0,149000
18,72.0,10791,Sawyer,4,1967,1967,0.0,3,Slab,4.0,0,0,0,3,Y,SBrkr,1296,0,1296,2,0,2,2,3,0,CarPort,1967.0,Unf,2,516,0,0,90000
19,66.0,13695,SawyerW,5,2004,2004,0.0,3,PConc,3.0,646,468,1114,5,Y,SBrkr,1114,0,1114,1,1,3,1,4,0,Detchd,2004.0,Unf,2,576,0,102,159000
20,70.0,7560,NAmes,5,1958,1965,0.0,3,CBlock,3.0,504,525,1029,3,Y,SBrkr,1339,0,1339,1,0,3,1,3,0,Attchd,1958.0,Unf,1,294,0,0,139000
21,101.0,14215,NridgHt,8,2005,2006,380.0,4,PConc,5.0,0,1158,1158,5,Y,SBrkr,1158,1218,2376,3,1,4,1,4,1,BuiltIn,2005.0,RFn,3,853,240,154,325300
22,57.0,7449,IDOTRR,7,1930,1950,0.0,3,PConc,3.0,0,637,637,5,Y,FuseF,1108,0,1108,1,0,3,1,4,1,Attchd,1930.0,Unf,1,280,0,0,139400
23,75.0,9742,CollgCr,8,2002,2002,281.0,4,PConc,4.0,0,1777,1777,5,Y,SBrkr,1795,0,1795,2,0,3,1,4,1,Attchd,2002.0,RFn,2,534,171,159,230000
24,44.0,4224,MeadowV,5,1976,1976,0.0,3,PConc,4.0,840,200,1040,3,Y,SBrkr,1060,0,1060,1,0,3,1,3,1,Attchd,1976.0,Unf,2,572,100,110,129900
25,69.0,8246,Sawyer,5,1968,2001,0.0,3,CBlock,3.0,188,204,1060,5,Y,SBrkr,1060,0,1060,1,0,3,1,4,1,Attchd,1968.0,Unf,1,270,406,90,154000
26,110.0,14230,NridgHt,8,2007,2007,640.0,4,PConc,4.0,0,1566,1566,5,Y,SBrkr,1600,0,1600,2,0,3,1,4,1,Attchd,2007.0,RFn,3,890,0,56,256300
