LotFrontage,LotArea,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice,SalePrice_pred
65.0,8450,7,2003,2003,196.0,4,5,4.0,706,150,856,5,1,4.0,856,854,1710,2,1,3,1,4,0,2,548,0,61,208500,221453
80.0,9600,6,1976,1976,0.0,3,2,4.0,978,284,1262,5,1,4.0,1262,0,1262,2,0,3,1,3,1,2,460,298,0,181500,153442
68.0,11250,7,2001,2002,162.0,4,5,4.0,486,434,920,5,1,4.0,920,866,1786,2,1,3,1,4,1,2,608,0,42,223500,233608
60.0,9550,7,1915,1970,0.0,3,3,3.0,216,540,756,4,1,4.0,961,756,1717,1,0,3,1,4,1,3,642,0,35,140000,140186
84.0,14260,8,2000,2000,350.0,4,5,4.0,655,490,1145,5,1,4.0,1145,1053,2198,2,1,4,1,4,1,3,836,192,84,250000,281264
85.0,14115,5,1993,1995,0.0,3,0,4.0,732,64,796,5,1,4.0,796,566,1362,1,1,1,1,3,0,2,480,40,30,143000,132329
75.0,10084,8,2004,2005,186.0,4,5,5.0,1369,317,1686,5,1,4.0,1694,0,1694,2,0,3,1,4,1,2,636,255,57,307000,258831
69.0,10382,7,1973,1973,240.0,3,2,4.0,859,216,1107,5,1,4.0,1107,983,2090,2,1,3,1,3,2,2,484,235,204,200000,220993
51.0,6120,7,1931,1950,0.0,3,3,3.0,0,952,952,4,1,1.0,1022,752,1774,2,0,2,2,3,2,2,468,90,0,129900,195250
50.0,7420,5,1939,1950,0.0,3,3,3.0,851,140,991,5,1,4.0,1077,0,1077,1,0,2,2,3,2,1,205,0,4,118000,119296
70.0,11200,5,1965,1965,0.0,3,2,3.0,906,134,1040,5,1,4.0,1040,0,1040,1,0,3,1,3,0,1,384,0,0,129500,66587
85.0,11924,9,2005,2006,286.0,5,5,5.0,998,177,1175,5,1,4.0,1182,1142,2324,3,0,4,1,5,2,3,736,147,21,345000,374769
69.0,12968,5,1962,1962,0.0,3,2,3.0,737,175,912,3,1,4.0,912,0,912,1,0,2,1,3,0,1,352,140,0,144000,55468
91.0,10652,7,2006,2007,306.0,4,5,4.0,0,1494,1494,5,1,4.0,1494,0,1494,2,0,3,1,4,1,3,840,160,33,279500,251001
69.0,10920,6,1960,1960,212.0,3,2,3.0,733,520,1253,3,1,4.0,1253,0,1253,1,1,2,1,3,1,1,352,0,213,157000,88227
51.0,6120,7,1929,2001,0.0,3,3,3.0,0,832,832,5,1,2.0,854,0,854,1,0,2,1,3,0,2,576,48,112,132000,113116
69.0,11241,6,1970,1970,180.0,3,2,3.0,578,426,1004,5,1,4.0,1004,0,1004,1,0,2,1,3,1,2,480,0,0,149000,134459
72.0,10791,4,1967,1967,0.0,3,1,4.0,0,0,0,3,1,4.0,1296,0,1296,2,0,2,2,3,0,2,516,0,0,90000,15072
66.0,13695,5,2004,2004,0.0,3,5,3.0,646,468,1114,5,1,4.0,1114,0,1114,1,1,3,1,4,0,2,576,0,102,159000,116136
70.0,7560,5,1958,1965,0.0,3,2,3.0,504,525,1029,3,1,4.0,1339,0,1339,1,0,3,1,3,0,1,294,0,0,139000,28544
101.0,14215,8,2005,2006,380.0,4,5,5.0,0,1158,1158,5,1,4.0,1158,1218,2376,3,1,4,1,4,1,3,853,240,154,325300,311857
57.0,7449,7,1930,1950,0.0,3,5,3.0,0,637,637,5,1,1.0,1108,0,1108,1,0,3,1,4,1,1,280,0,0,139400,82399
75.0,9742,8,2002,2002,281.0,4,5,4.0,0,1777,1777,5,1,4.0,1795,0,1795,2,0,3,1,4,1,2,534,171,159,230000,219871
44.0,4224,5,1976,1976,0.0,3,5,4.0,840,200,1040,3,1,4.0,1060,0,1060,1,0,3,1,3,1,2,572,100,110,129900,130989
69.0,8246,5,1968,2001,0.0,3,2,3.0,188,204,1060,5,1,4.0,1060,0,1060,1,0,3,1,4,1,1,270,406,90,154000,447320
110.0,14230,8,2007,2007,640.0,4,5,4.0,0,1566,1566,5,1,4.0,1600,0,1600,2,0,3,1,4,1,3,890,0,56,256300,289024
60.0,7200,5,1951,2000,0.0,3,2,3.0,234,180,900,3,1,4.0,900,0,900,1,0,3,1,4,0,2,576,222,32,134800,355691
98.0,11478,8,2007,2008,200.0,4,5,5.0,1218,486,1704,5,1,4.0,1704,0,1704,2,0,3,1,4,1,3,772,0,50,306000,290524
47.0,16321,5,1957,1997,0.0,3,2,3.0,1277,207,1484,3,1,4.0,1600,0,1600,1,0,2,1,3,2,1,319,288,258,207500,73562
60.0,6324,4,1927,1950,0.0,3,3,3.0,0,520,520,2,0,4.0,520,0,520,1,0,1,1,2,0,1,240,49,0,68500,35314
50.0,8500,4,1920,1950,0.0,3,3,3.0,0,649,649,3,0,4.0,649,668,1317,1,0,3,1,3,0,1,250,0,54,40000,55715
69.0,8544,5,1966,2006,0.0,3,2,3.0,0,1228,1228,4,1,4.0,1228,0,1228,1,1,3,1,4,0,1,271,0,65,149350,73739
85.0,11049,8,2007,2007,0.0,4,5,5.0,0,1234,1234,5,1,4.0,1234,0,1234,2,0,3,1,4,0,2,484,0,30,179900,218265
70.0,10552,5,1959,1959,0.0,3,2,3.0,1018,380,1398,4,1,4.0,1700,0,1700,1,1,4,1,4,1,2,447,0,38,165500,85673
60.0,7313,9,2005,2005,246.0,5,5,5.0,1153,408,1561,5,1,4.0,1561,0,1561,2,0,2,1,5,1,2,556,203,47,277500,299992
108.0,13418,8,2004,2005,132.0,4,5,5.0,0,1117,1117,5,1,4.0,1132,1320,2452,3,1,4,1,4,1,3,691,113,32,309000,300065
112.0,10859,5,1994,1995,0.0,3,5,4.0,0,1097,1097,5,1,4.0,1097,0,1097,1,1,3,1,3,0,2,672,392,64,145000,114961
74.0,8532,5,1954,1990,650.0,3,2,3.0,1213,84,1297,4,1,4.0,1297,0,1297,1,0,3,1,3,1,2,498,0,0,153000,179621
68.0,7922,5,1953,2007,0.0,3,2,3.0,731,326,1057,3,1,4.0,1057,0,1057,1,0,3,1,4,0,1,246,0,52,109000,77633
65.0,6040,4,1955,1955,0.0,3,5,4.0,0,0,0,3,0,0.0,1152,0,1152,2,0,2,2,2,0,0,0,0,0,82000,19055
84.0,8658,6,1965,1965,101.0,3,2,3.0,643,445,1088,5,1,4.0,1324,0,1324,2,0,3,1,3,1,2,440,0,138,160000,102037
115.0,16905,5,1959,1959,0.0,3,2,3.0,967,383,1350,4,1,4.0,1328,0,1328,1,1,2,1,3,2,1,308,0,104,170000,89661
